CODUFMUN;REC;TENT_y
410100;0;3
410110;0;2
410115;9;21
410160;222;396
410180;2547;5760
410210;45;145
410230;6;11
410240;6;8
410300;3;5
410322;15;42
410345;16;28
410360;18;33
410370;1476;2808
410390;1;4
410400;693;1296
410420;9;21
410460;12;64
410480;10674;19404
410490;708;1800
410540;186;388
410550;1274;2674
410580;84;384
410590;56;178
410620;1;1
410645;30;69
410690;34227;67905
410725;4;4
410765;600;1362
410790;5;8
410810;1;6
410830;138;336
410850;1;2
410940;909;5427
410965;10;17
410980;222;594
411000;2;4
411010;18;135
411030;1;2
411050;33;66
411120;243;423
411140;72;198
411150;13;39
411200;385;987
411360;1;4
411370;1404;2349
411390;3;24
411410;14;24
411420;160;544
411440;8;37
411480;540;1170
411500;0;2
411520;10413;22428
411540;2;7
411570;44;398
411573;4;4
411580;504;1050
411585;8;16
411605;76;216
411630;1;3
411670;66;270
411690;80;144
411705;3;18
411730;12;20
411750;160;488
411760;225;594
411770;288;606
411790;44;148
411800;0;1
411820;16;184
411850;1536;3768
411915;34;76
411925;1;3
411930;8;32
411970;1;4
411990;5184;12033
411995;6;8
412015;1;2
412060;6;36
412090;136;408
412160;2;15
412200;36;152
412220;0;1
412280;0;6
412300;0;7
412340;10;24
412380;8;24
412382;6;12
412402;36;102
412405;96;204
412450;1;3
412480;156;438
412500;16;36
412510;7;20
412550;2310;5292
412560;42;86
412570;497;994
412625;1953;4716
412630;64;132
412650;36;62
412680;2;8
412710;889;1666
412720;75;290
412740;14;22
412770;1827;4005
412785;42;108
412800;4;11
412850;1;1
412855;21;39
