Município;Assist_Soc;Psic;Psiqui;Acoes_prom;Acoes_comp;2017;2018;2019;2020;2021;Ar_Ter_km2;Pop_Est;PIB;IDH
410640 Cornélio Procópio;13.0;50.0;3.0;3149;0;241;163;0;0;0;1562848;75380;2620569;6
411007 Imbaú;2.0;2.0;0.0;0;0;53;2;0;0;0;9362080;111170;1718647;6
410300 Boa Esperança;0.0;2.0;0.0;10671;0;20;14;0;0;0;1517970;24370;3693139;7
411270 Jataizinho;2.0;2.0;0.0;1122;0;25;0;0;0;0;2891730;121080;4976988;7
411880 Peabiru;2.0;3.0;0.0;1003;0;90;0;0;0;0;2406350;114060;3039907;7
411930 Pinhão;3.0;7.0;0.0;1413;0;0;90;0;0;0;2270420;1168520;1168104;7
411995 Pontal do Paraná;3.0;6.0;0.0;1325;0;201;162;0;0;0;1865810;48990;2496788;7
412265 Rosário do Ivaí;2.0;3.0;0.0;0;0;92;109;0;0;0;1893150;33890;2458997;7
412382 Santa Lúcia;1.0;1.0;0.0;432;0;24;17;0;0;0;4271930;115230;2861591;7
410390 Campina da Lagoa;1.0;2.0;0.0;47077;0;120;33;0;0;0;4484240;38310;2411782;6.3
412110 Quinta do Sol;2.0;6.0;0.0;481;0;17;24;0;0;0;2371960;45000;1859056;6.3
410305 Boa Vista da Aparecida;2.0;5.0;0.0;13841;163;1169;11981;29585;9582;163;8263440;133080;1550564;6.4
412210 Rio Bom;1.0;2.0;0.0;1746;0;0;0;0;0;0;3823290;41210;1960202;6.4
412840 Uraí;2.0;1.0;0.0;11650;0;14;0;0;0;0;8193340;122670;1956569;6.5
410030 Agudos do Sul;1.0;3.0;1.0;1846;0;0;0;0;0;0;1922610;95670;2208781;6.6
411005 Iguatu;1.0;1.0;0.0;185;0;0;0;0;0;0;7565350;333060;2782718;6.6
411745 Ouro Verde do Oeste;0.0;1.0;0.0;509;0;0;0;0;0;0;1557903;525030;2358847;6.6
410180 Araucária;18.0;64.0;4.0;701796;11356;16877;17805;16901;16939;11356;2395620;20260;4117991;6.7
410304 Boa Ventura de São Roque;0.0;1.0;0.0;753;0;11;2;0;0;0;2562970;75240;1834591;6.7
411330 Laranjeiras do Sul;6.0;15.0;0.0;102870;0;244;185;0;0;0;1514560;31550;2488058;6.8
411580 Medianeira;12.0;20.0;0.0;26900;0;0;0;0;0;0;2217080;21800;4587133;6.8
411710 Nova Londrina;1.0;4.0;0.0;12344;0;96;85;0;0;0;717640;43040;1966776;6.8
412100 Querência do Norte;2.0;2.0;0.0;43092;0;0;0;0;0;0;4470240;193880;207639;6.8
411370 Londrina;103.0;412.0;31.0;117987;16848;25134;23462;27477;12821;16848;1992130;46950;1830603;6.9
410960 Guaratuba;3.0;11.0;1.0;6803;0;79;0;0;0;0;8982210;318540;2179116;7.1
411373 Luiziana;1.0;1.0;0.0;1182;0;128;94;0;0;0;1210660;49690;2092708;7.1
411705 Nova Laranjeiras;1.0;2.0;0.0;20236;0;49;32;0;0;0;1363470;58460;1426318;7.1
411722 Nova Santa Rosa;0.0;1.0;0.0;672;0;0;0;0;0;0;1614110;28360;2329538;7.1
411950 Piraquara;27.0;41.0;4.0;80380;0;797;572;0;0;0;1232290;32980;3043434;7.1
412020 Porto Rico;1.0;1.0;0.0;0;0;0;0;0;0;0;1533990;38060;3516372;7.1
412050 Primeiro de Maio;1.0;1.0;0.0;0;0;55;43;0;0;0;3218750;44200;5042058;7.1
412310 Santa Amélia;1.0;1.0;0.0;0;0;0;0;0;0;0;4420130;77050;3346537;7.1
412710 Telêmaco Borba;8.0;20.0;1.0;3396;0;385;242;0;0;0;7005990;170540;2095604;7.1
410290 Bituruna;4.0;3.0;0.0;7985;0;0;0;0;0;0;3027390;39910;4870782;7.2
410755 Farol;0.0;1.0;0.0;822;0;29;0;0;0;0;1166780;1037500;2560726;7.2
411729 Novo Itacolomi;1.0;3.0;0.0;6293;0;0;0;0;0;0;1764570;34230;3102149;7.2
412350 Santa Helena;2.0;7.0;0.0;94888;0;144;84;0;0;0;3494970;84840;2290405;7.2
412810 Umuarama;23.0;89.0;4.0;49808;17361;46047;26384;381;14722;17361;948190;26230;2495364;7.2
412855 Vera Cruz do Oeste;1.0;1.0;0.0;2899;0;57;0;0;0;0;3118010;70940;3991508;7.2
410580 Colombo;6.0;31.0;3.0;826952;0;2806;2010;14;0;0;4075680;242710;2589741;7.3
412863 Doutor Ulysses;0.0;1.0;0.0;0;0;0;0;0;0;0;46747;139620;4021154;7.3
411130 Itaúna do Sul;1.0;1.0;0.0;211;0;21;3;0;0;0;4315020;318860;2561424;7.3
412788 Tunas do Paraná;0.0;1.0;0.0;421;0;75;10;0;0;0;2997690;81050;4217114;7.3
410170 Araruna;2.0;8.0;0.0;41499;0;108;62;0;0;0;46924;1485220;11604697;7.4
410530 Céu Azul;2.0;3.0;0.0;16857;0;63;21;0;0;0;9596920;190830;3409642;7.4
411575 Mauá da Serra;2.0;2.0;0.0;13536;0;0;0;0;0;0;1971360;56170;3939048;7.4
412260 Rondon;2.0;4.0;0.0;45369;0;68;48;0;0;0;1903290;69540;841569;7.4
412800 Ubiratã;5.0;12.0;0.0;60894;0;70;1;0;0;0;7199980;582980;2767896;7.4
411800 Paraíso do Norte;1.0;3.0;0.0;0;0;0;0;0;0;0;8264310;1573780;6360654;7.5
412217 Rio Branco do Ivaí;1.0;1.0;0.0;0;0;59;30;0;0;0;6041380;346450;3624173;7.6
412865 Virmond;2.0;1.0;0.0;43813;0;73;61;0;0;0;7774820;55250;1111158;5.46
410510 Centenário do Sul;2.0;2.0;1.0;1299;0;109;32;0;0;0;1341189;178840;1786232;5.73
411310 Kaloré;3.0;4.0;0.0;0;0;0;0;0;0;0;5594390;57190;1392776;5.85
410930 Guaraniaçu;2.0;5.0;0.0;299;0;0;0;0;0;0;201703;75540;1455214;5.87
410715 Diamante D'Oeste;1.0;1.0;0.0;0;0;0;0;0;0;0;3472330;34090;1562877;6.08
411727 Nova Tebas;3.0;1.0;0.0;32015;0;94;59;0;0;0;2429564;217830;975053;6.09
412380 Santa Izabel do Oeste;2.0;3.0;0.0;24899;12498;15240;18776;20074;16905;12498;8366690;92100;1803198;6.09
412780 Tomazina;1.0;2.0;0.0;0;0;2;1;0;0;0;6684780;92690;1294767;6.11
411535 Maripá;1.0;3.0;0.0;4875;0;0;0;0;0;0;5096320;42830;1914642;6.14
412150 Rebouças;2.0;5.0;0.0;0;0;33;45;0;0;0;1635522;269330;2319634;6.18
412660 Siqueira Campos;2.0;7.0;0.0;7556;0;0;0;0;0;0;4721550;152770;2088807;6.21
411000 Iguaraçu;1.0;5.0;0.0;4437;0;49;41;0;0;0;3307030;134490;1738438;6.22
410430 Campo Mourão;18.0;143.0;8.0;112429;118724;66820;1846;154354;112072;118724;151016;146060;2086225;6.29
412200 Rio Azul;4.0;3.0;0.0;36154;0;152;78;0;0;0;6814060;132400;2173541;6.29
412490 São João do Caiuá;1.0;1.0;0.0;330;0;66;52;0;0;0;7204070;153590;3635497;6.29
411560 Matelândia;2.0;4.0;1.0;22045;0;0;0;0;0;0;3945330;31420;2421763;6.32
410440 Cândido de Abreu;2.0;3.0;0.0;0;0;134;31;0;0;0;1512786;161260;3201304;6.35
410442 Candói;5.0;3.0;0.0;59921;0;45;0;0;0;0;58354;133400;1937891;6.35
410753 Entre Rios do Oeste;0.0;1.0;0.0;35924;0;0;0;0;0;0;32644;39800;2740942;6.36
